TIMESTAMP,TEMPERATURE,FAHRENHEIT,PRESSURE,HUMIDITY,DEW_POINT
2023-05-07 14:45:26,19.82,67.68,1006,66,13.28
2023-05-07 14:45:36,19.82,67.68,1006,66,13.28
2023-05-07 14:45:46,19.82,67.68,1006,66,13.28
2023-05-07 14:45:56,19.82,67.68,1006,66,13.28
2023-05-07 14:46:06,19.82,67.68,1006,66,13.28
2023-05-07 14:46:16,19.82,67.68,1006,66,13.28
2023-05-07 14:46:26,19.82,67.68,1006,66,13.28
2023-05-07 14:46:36,19.82,67.68,1006,66,13.28
2023-05-07 14:46:46,19.82,67.68,1006,66,13.28
2023-05-07 14:46:56,19.82,67.68,1006,66,13.28
2023-05-07 14:47:06,19.82,67.68,1006,66,13.28
2023-05-07 14:47:16,19.83,67.69,1006,66,13.29
2023-05-07 14:47:26,19.82,67.68,1006,66,13.28
2023-05-07 14:47:36,19.82,67.68,1006,66,13.28
2023-05-07 14:47:46,19.83,67.69,1006,66,13.29
2023-05-07 14:47:56,19.82,67.68,1006,66,13.28
2023-05-07 14:48:06,19.83,67.69,1006,66,13.29
2023-05-07 14:48:16,19.82,67.68,1006,66,13.28
2023-05-07 14:48:26,19.82,67.68,1006,66,13.28
2023-05-07 14:48:36,19.82,67.68,1006,66,13.28
2023-05-07 14:48:46,19.82,67.68,1006,66,13.28
2023-05-07 14:48:56,19.82,67.68,1006,66,13.28
2023-05-07 14:49:06,19.83,67.69,1006,66,13.29
2023-05-07 14:49:16,19.83,67.69,1006,66,13.29
